name ,size ,type ,tags,alignment ,challenge ,xp,source 
Kruthik Hive Lord,Large,Monstrosity,,Unaligned,5,1800,mtf 212
Oaken Bolter,Medium,Construct,,Unaligned,5,1800,mtf 126
Tanarukk,Medium,Fiend,"demon, orc",CE,5,1800,vgm 186
Troll,Large,Giant,,CE,5,1800,mm 291
Annis Hag,Large,Fey,,CE,6,2300,vgm 159
Chimera,Large,Monstrosity,,CE,6,2300,mm 39
Cyclops,Huge,Giant,,CN,6,2300,mm 45
Duergar Warlord,Medium,Humanoid,dwarf,LE,6,2300,mtf 192
Galeb Duhr,Medium,Elemental,,N,6,2300,mm 139
Wyvern,Large,Dragon,,Unaligned,6,2300,mm 303
Lost Sorrowsworn,Medium,Monstrosity,,NE,7,2900,mtf 233
Stone Giant,Huge,Giant,,N,7,2900,mm 156
Frost Giant,Huge,Giant,,NE,8,3900,mm 155
Cloud Giant,Huge,Giant,,NG or NE,9,5000,mm 154
Fire Giant,Huge,Giant,,LE,9,5000,mm 154
Lonely Sorrowsworn,Medium,Monstrosity,,NE,9,5000,mtf 232
Young Silver Dragon,Large,Dragon,,LG,9,5000,mm 118
Githyanki Gish,Medium,Humanoid,gith,LE,10,5900,mtf 205
Githzerai Enlightened,Medium,Humanoid,gith,LN,10,5900,mtf 208
Stone Giant Dreamwalker,Huge,Giant,stone giant,CN,10,5900,vgm 150
Young Red Dragon,Large,Dragon,,CE,10,5900,mm 98
Balhannoth,Large,Aberration,,CE,11,7200,mtf 118
Cloud Giant Smiling One,Huge,Giant,cloud giant,CN,11,7200,vgm 146
Roc,Gargantuan,Monstrosity,,Unaligned,11,7200,mm 260
Duergar Despot,Medium,Humanoid,dwarf,LE,12,8400,mtf 188
Eidolon,Medium,Undead,,Any,12,8400,mtf 194
Githyanki Kith'rak,Medium,Humanoid,gith,LE,12,8400,mtf 205
Ki-rin,Huge,Celestial,,LG,12,8400,vgm 163
Dire Troll,Huge,Giant,,CE,13,10000,mtf 243
Star Spawn Seer,Medium,Aberration,,NE,13,10000,mtf 236
Fire Giant Dreadnought,Huge,Giant,fire giant,LE,14,11500,vgm 147
Githyanki Supreme Commander,Medium,Humanoid,gith,LE,14,11500,mtf 206
Adult Silver Dragon,Huge,Dragon,,LG,16,15000,mm 117
Phoenix,Gargantuan,Elemental,,N,16,15000,mtf 199
Star Spawn Larva Mage,Medium,Aberration,,CE,16,15000,mtf 235
Storm Giant Quintessent,Huge,Giant,storm giant,CG,16,15000,vgm 151
Adult Red Dragon,Huge,Dragon,,CE,17,18000,mm 98
Red Abishai,Medium,Fiend,devil,LE,19,22000,mtf 162
Zaratan,Gargantuan,Elemental,,N,22,41000,mtf 201
Ancient Silver Dragon,Gargantuan,Dragon,,LG,23,50000,mm 116
Elder Tempest,Gargantuan,Elemental,,N,23,50000,mtf 200
Ancient Red Dragon,Gargantuan,Dragon,,CE,24,62000,mm 97
