name ,size ,type ,tags,alignment ,challenge ,xp,source 
Giant Goat,Large,Beast,,Unaligned,1/2,100,mm 326
Giant Wasp,Medium,Beast,,Unaligned,1/2,100,mm 329
Gnoll,Medium,Humanoid,gnoll,CE,1/2,100,mm 163
Gnoll Hunter,Medium,Humanoid,gnoll,CE,1/2,100,vgm 154
Hobgoblin,Medium,Humanoid,goblinoid,LE,1/2,100,mm 186
Jackalwere,Medium,Humanoid,shapechanger,CE,1/2,100,mm 193
Orc,Medium,Humanoid,orc,CE,1/2,100,mm 246
Orc Nurtured One of Yurtrus,Medium,Humanoid,orc,CE,1/2,100,vgm 184
Scout,Medium,Humanoid,,,1/2,100,mm 349
Swarm of Insects,Medium,Beast,,Unaligned,1/2,100,mm 338
Worg,Large,Monstrosity,,NE,1/2,100,mm 341
Bronze Scout,Medium,Construct,,Unaligned,1,200,mtf 125
Bugbear,Medium,Humanoid,goblinoid,CE,1,200,mm 33
Deinonychus,Medium,Beast,,Unaligned,1,200,vgm 139
Giant Eagle,Large,Beast,,NG,1,200,mm 324
Giant Hyena,Large,Beast,,Unaligned,1,200,mm 326
Giant Vulture,Large,Beast,,NE,1,200,mm 329
Gnoll Flesh Gnawer,Medium,Humanoid,gnoll,CE,1,200,vgm 154
Goblin Boss,Small,Humanoid,goblinoid,NE,1,200,mm 166
Hippogriff,Large,Monstrosity,,Unaligned,1,200,mm 184
Lion,Large,Beast,,Unaligned,1,200,mm 331
Meazel,Medium,Humanoid,meazel,NE,1,200,mtf 214
Scarecrow,Medium,Construct,,CE,1,200,mm 268
Thri-kreen,Medium,Humanoid,thri-kreen,CN,1,200,mm 288
Tiger,Large,Beast,,Unaligned,1,200,mm 339
Allosaurus,Large,Beast,,Unaligned,2,450,mm 79
Ankheg,Large,Monstrosity,,Unaligned,2,450,mm 21
Aurochs,Large,Beast,,Unaligned,2,450,vgm 207
Centaur,Large,Monstrosity,,NG,2,450,mm 38
Druid,Medium,Humanoid,,Any,2,450,mm 346
Giant Boar,Large,Beast,,Unaligned,2,450,mm 323
Giant Elk,Huge,Beast,,Unaligned,2,450,mm 325
Gnoll Pack Lord,Medium,Humanoid,gnoll,CE,2,450,mm 163
Griffon,Large,Monstrosity,,Unaligned,2,450,mm 174
Hobgoblin Iron Shadow,Medium,Humanoid,goblinoid,LE,2,450,vgm 162
Ogre,Large,Giant,,CE,2,450,mm 237
Ogre Bolt Launcher,Large,Giant,,CE,2,450,mtf 220
Ogre Howdah,Large,Giant,,CE,2,450,mtf 221
Orc Eye of Gruumsh,Medium,Humanoid,orc,CE,2,450,mm 247
Orc Hand of Yurtrus,Medium,Humanoid,orc,CE,2,450,vgm 184
Orog,Medium,Humanoid,orc,CE,2,450,mm 247
Pegasus,Large,Celestial,,CG,2,450,mm 250
Rhinoceros,Large,Beast,,Unaligned,2,450,mm 336
Ankylosaurus,Huge,Beast,,Unaligned,3,700,mm 79
Hobgoblin Captain,Medium,Humanoid,goblinoid,LE,3,700,mm 186
Leucrotta,Large,Monstrosity,,CE,3,700,vgm 169
Manticore,Large,Monstrosity,,LE,3,700,mm 213
Ogre Chain Brute,Large,Giant,,CE,3,700,mtf 221
Phase Spider,Large,Monstrosity,,Unaligned,3,700,mm 334
Sword Wraith Warrior,Medium,Undead,,LE,3,700,mtf 241
Vampiric Mist,Medium,Undead,,CE,3,700,mtf 246
Veteran,Medium,Humanoid,,,3,700,mm 350
Barghest,Large,Fiend,shapechanger,NE,4,1100,vgm 123
Couatl,Medium,Celestial,,LG,4,1100,mm 43
Elephant,Huge,Beast,,Unaligned,4,1100,mm 322
Gnoll Fang of Yeenoghu,Medium,Fiend,gnoll,CE,4,1100,mm 163
Hobgoblin Devastator,Medium,Humanoid,goblinoid,LE,4,1100,vgm 161
Iron Cobra,Medium,Construct,,Unaligned,4,1100,mtf 125
Ogre Battering Ram,Large,Giant,,CE,4,1100,mtf 220
Orc Blade of Ilneval,Medium,Humanoid,orc,CE,4,1100,vgm 183
Stegosaurus,Huge,Beast,,Unaligned,4,1100,vgm 140
Stone Defender,Medium,Construct,,Unaligned,4,1100,mtf 126
Wereboar,Medium,Humanoid,"human, shapechanger",NE,4,1100,mm 209
Weretiger,Medium,Humanoid,"human, shapechanger",N,4,1100,mm 210
Yeth Hound,Large,Fey,,NE,4,1100,vgm 201
Brontosaurus,Gargantuan,Beast,,Unaligned,5,1800,vgm 139
Bulette,Large,Monstrosity,,Unaligned,5,1800,mm 34
Gorgon,Large,Monstrosity,,Unaligned,5,1800,mm 171
Oaken Bolter,Medium,Construct,,Unaligned,5,1800,mtf 126
Triceratops,Huge,Beast,,Unaligned,5,1800,mm 80
Chimera,Large,Monstrosity,,CE,6,2300,mm 39
Cyclops,Huge,Giant,,CN,6,2300,mm 45
Hobgoblin Warlord,Medium,Humanoid,goblinoid,LE,6,2300,mm 187
Mouth of Grolantor,Huge,Giant,hill giant,CE,6,2300,vgm 149
Howler,Large,Fiend,,CE,8,3900,mtf 210
Shoosuva,Large,Fiend,demon,CE,8,3900,vgm 137
Sword Wraith Commander,Medium,Undead,,LE,8,3900,mtf 241
Tyrannosaurus Rex,Huge,Beast,,Unaligned,8,3900,mm 80
Flind,Medium,Humanoid,gnoll,CE,9,5000,vgm 153
Spring Eladrin,Medium,Fey,elf,CN,10,5900,mtf 196
Young Gold Dragon,Large,Dragon,,LG,10,5900,mm 115
Eidolon,Medium,Undead,,Any,12,8400,mtf 194
Ki-rin,Huge,Celestial,,LG,12,8400,vgm 163
Cadaver Collector,Large,Construct,,LE,14,11500,mtf 122
Adult Gold Dragon,Huge,Dragon,,LG,17,18000,mm 114
Zaratan,Gargantuan,Elemental,,N,22,41000,mtf 201
Elder Tempest,Gargantuan,Elemental,,N,23,50000,mtf 200
Ancient Gold Dragon,Gargantuan,Dragon,,LG,24,62000,mm 113
